chimera,chim.id,env,fts,emo,emo.fts,subj.01,subj.02,subj.03,subj.04,subj.05,subj.06,subj.07,subj.08,subj.09,subj.10,subj.11,subj.12,subj.13,subj.14,subj.15,subj.16,subj.17,subj.18,subj.19,subj.20,subj.21,subj.22,subj.23,subj.24,subj.25,subj.26,subj.27,subj.28,subj.29,subj.30,subj.31,subj.32,subj.33,subj.34,subj.35,subj.36,subj.37,subj.38,subj.39,subj.40,subj.41,subj.42,subj.43,subj.44,subj.45,subj.46,subj.47,subj.48,subj.49,subj.50,subj.51,subj.52,subj.53,subj.54,subj.55,subj.56,subj.57,subj.58,subj.59,subj.60,subj.61,subj.62,subj.63,subj.64
22Senv24Hftsnb2,22,24,2,s,h,h,h,h,s,h,h,h,h,s,h,h,h,s,h,h,h,s,h,h,h,h,h,s,h,h,h,h,s,h,h,h,h,h,s,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,s,h,s,h,h,h,h,h,s
22Senv24Hftsnb4,22,24,4,s,h,s,h,s,h,h,h,h,h,s,h,h,h,h,h,s,h,s,s,h,h,h,h,s,h,h,h,h,s,s,h,h,h,s,s,s,h,h,h,h,h,h,h,h,s,h,h,h,s,h,h,h,h,h,h,h,h,s,s,h,h,h,s,h,h
22Senv24Hftsnb8,22,24,8,s,h,s,s,s,s,s,h,h,h,s,h,h,s,s,h,s,h,s,s,h,h,h,h,s,h,s,h,h,s,s,s,s,s,h,s,s,h,h,h,h,s,s,s,h,h,h,h,h,s,h,h,h,h,h,h,h,s,s,s,s,h,h,h,h,h
22Senv24Hftsnb16,22,24,16,s,h,s,s,s,s,s,h,h,h,s,s,h,s,s,h,s,h,h,s,s,h,h,h,s,h,s,h,s,s,s,h,s,h,h,s,s,h,h,s,h,s,h,h,h,h,s,h,h,h,h,s,h,h,h,h,h,h,h,s,s,h,s,h,s,h
22Senv24Hftsnb32,22,24,32,s,h,s,h,s,h,s,s,h,s,h,s,h,s,s,h,s,s,s,s,s,s,s,s,s,s,s,h,h,h,s,s,s,h,s,s,s,h,s,s,s,s,s,s,h,s,s,h,h,h,h,h,s,s,s,s,h,s,h,s,h,s,s,s,h,h
22Senv24Hftsnb64,22,24,64,s,h,s,s,s,h,s,h,s,s,h,s,h,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,h,s,s,s,s,s,s,h,s,s,h,h,s,s,s,h,s,s,h,s,s,s,s,s,h,s,s,s,h
23S,23,0,0,s,s,h,s,s,s,s,s,h,s,s,s,s,s,s,h,s,s,s,s,s,s,s,s,s,s,s,s,h,s,s,s,s,s,s,s,s,s,s,s,h,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s
23Senv06Hftsnb2,23,6,2,s,h,s,h,h,h,h,s,h,h,h,h,h,h,s,h,h,h,h,s,h,h,h,h,s,h,h,h,h,h,h,h,h,h,h,s,h,h,h,h,h,h,h,h,h,h,h,s,h,h,h,h,h,h,h,h,h,h,s,s,h,h,h,s,h,h
23Senv06Hftsnb4,23,6,4,s,h,h,s,h,h,s,h,h,h,h,h,h,h,h,h,s,h,h,s,h,h,h,h,s,h,s,h,h,h,h,h,h,h,s,s,h,h,s,h,h,h,h,h,s,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,s,s,h,h
23Senv06Hftsnb8,23,6,8,s,h,s,s,h,h,s,h,h,s,s,h,h,h,s,s,h,h,s,s,h,h,h,h,s,s,h,h,s,s,h,h,h,h,h,s,h,h,h,h,h,h,h,h,h,h,h,h,h,s,h,s,h,h,s,h,h,h,h,h,s,h,h,h,h,h
23Senv06Hftsnb16,23,6,16,s,h,s,s,h,s,s,h,h,s,h,s,s,h,s,h,s,h,h,s,s,s,h,h,s,h,h,s,h,s,s,h,s,h,h,s,h,h,s,h,h,s,h,h,s,h,h,h,h,h,s,h,s,h,h,h,h,h,s,h,h,s,s,s,s,h
23Senv06Hftsnb32,23,6,32,s,h,h,s,s,s,s,s,s,s,s,s,s,h,s,s,s,h,h,s,s,s,h,s,s,s,s,s,s,s,s,s,s,h,s,s,s,h,h,h,s,h,h,s,h,h,h,s,h,s,s,s,s,h,s,s,h,s,s,s,h,s,s,s,s,h
23Senv06Hftsnb64,23,6,64,s,h,s,s,s,s,s,s,h,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,h,s,s,s,h,h,s,s,s,s,h,s,s,h,s,s,s,s,s,s,s,s,s
24H,24,0,0,h,h,h,h,h,h,s,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,s,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h
24Henv22Sftsnb2,24,22,2,h,s,s,s,h,h,s,h,s,h,s,s,s,s,s,s,h,s,s,s,h,s,s,s,s,h,s,h,s,s,h,s,s,s,s,s,s,s,s,s,h,s,s,s,h,s,s,s,h,h,s,h,s,h,s,s,s,s,s,s,s,s,s,s,s,s
24Henv22Sftsnb4,24,22,4,h,s,s,h,s,h,s,h,s,h,h,s,s,s,s,s,s,s,h,s,s,s,s,s,s,h,s,s,s,s,h,h,s,s,s,s,s,s,s,s,h,s,h,s,h,h,s,s,h,s,s,s,s,s,s,s,h,s,s,s,h,h,s,s,s,s
24Henv22Sftsnb8,24,22,8,h,s,s,h,s,s,s,h,s,h,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,h,s,s,h,s,s,h,s,s,s,h,h,h,s,h,s,s,s,s,s,s,s,s,s,s,s,s,h,s,s,h,s
24Henv22Sftsnb16,24,22,16,h,s,s,h,s,h,s,s,s,h,s,h,h,h,s,s,s,s,s,s,s,s,h,s,s,h,s,s,s,s,s,s,s,s,h,s,s,h,s,s,h,s,s,s,h,s,h,s,h,s,s,s,s,s,s,s,h,s,s,s,h,h,h,s,h,s
24Henv22Sftsnb32,24,22,32,h,s,h,s,s,s,s,s,h,h,s,h,h,h,s,h,s,s,h,s,s,s,s,s,s,s,s,s,h,s,s,s,s,h,s,h,s,h,h,s,s,h,s,s,h,h,h,s,h,s,s,h,s,h,s,s,h,h,s,s,h,h,h,s,s,s
24Henv22Sftsnb64,24,22,64,h,s,s,h,h,h,h,s,h,h,s,h,h,h,h,h,s,h,s,h,s,h,h,h,s,h,h,h,s,h,h,h,h,h,h,h,h,h,h,h,s,h,h,h,h,h,h,h,h,h,h,h,h,h,h,s,h,h,s,h,h,h,h,h,h,h
25H,25,0,0,h,h,h,h,h,h,s,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h
25Henv27Sftsnb2,25,27,2,h,s,s,s,s,h,s,h,h,h,h,h,h,h,s,s,s,h,h,h,s,h,s,s,s,h,h,h,h,s,h,s,h,s,h,h,h,h,s,s,h,h,h,h,h,h,h,s,h,s,h,s,h,h,h,h,h,h,h,h,h,s,h,h,h,h
25Henv27Sftsnb4,25,27,4,h,s,h,h,s,h,s,h,s,h,s,s,s,h,s,s,s,s,h,s,s,s,s,s,s,h,s,s,s,s,s,s,s,s,s,h,s,s,s,s,h,h,s,s,s,s,h,s,h,s,s,s,h,s,h,s,h,s,s,s,h,h,h,s,h,s
25Henv27Sftsnb8,25,27,8,h,s,s,h,s,h,s,h,s,h,h,h,h,h,h,s,s,s,s,s,s,h,s,h,s,h,s,h,s,s,s,h,h,s,h,h,s,h,s,s,h,s,s,h,s,h,h,s,h,s,h,s,h,h,h,s,h,h,s,s,s,h,h,h,h,s
25Henv27Sftsnb16,25,27,16,h,s,s,h,s,h,s,h,h,h,h,h,h,h,s,s,s,s,s,s,s,s,h,s,s,h,s,h,s,s,s,s,s,s,s,h,s,h,s,s,s,h,s,h,s,h,h,s,h,s,s,s,s,s,s,h,h,s,h,s,s,h,h,s,s,s
25Henv27Sftsnb32,25,27,32,h,s,h,s,h,h,s,h,h,h,s,h,h,h,h,h,s,s,s,h,h,h,h,h,s,s,h,h,s,s,h,h,s,h,h,h,s,h,h,h,h,h,s,h,s,h,h,h,h,s,s,h,h,s,h,h,h,h,s,h,h,h,h,h,h,h
25Henv27Sftsnb64,25,27,64,h,s,h,h,h,h,s,h,h,s,h,h,h,h,h,h,h,h,s,h,h,h,h,h,s,h,h,h,s,s,h,h,h,h,h,s,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h
26H,26,0,0,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h
26Henv04Sftsnb2,26,4,2,h,s,h,h,s,h,h,h,s,h,h,s,h,h,s,h,s,s,h,s,s,h,h,h,s,h,h,s,s,h,s,h,s,h,s,h,s,s,s,s,h,h,h,h,h,s,h,s,s,s,h,h,h,s,h,h,s,h,s,h,h,h,h,h,h,s
26Henv04Sftsnb4,26,4,4,h,s,h,h,s,h,h,h,h,s,h,h,h,h,h,s,s,s,h,s,s,h,h,s,s,h,h,h,h,s,h,s,h,h,s,h,s,s,h,s,h,h,s,h,h,s,h,s,h,s,h,h,h,h,h,h,h,h,s,s,h,h,h,h,h,h
26Henv04Sftsnb8,26,4,8,h,s,h,h,h,h,h,h,h,h,h,h,h,h,h,h,s,s,s,s,h,h,h,h,s,h,h,h,h,s,s,h,s,h,h,h,s,h,h,h,h,h,h,h,h,s,h,h,h,s,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h
26Henv04Sftsnb16,26,4,16,h,s,h,h,h,h,s,h,h,h,h,h,h,h,s,h,h,h,s,h,h,h,h,h,s,h,h,h,s,s,s,h,h,h,s,h,s,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,s,s,h
26Henv04Sftsnb32,26,4,32,h,s,h,h,h,h,s,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,s,h,h,h,h,h,h,h,h,h,h,s,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h
26Henv04Sftsnb64,26,4,64,h,s,h,h,h,h,s,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,s,h,h,h,h,h,h,h,h,h,h,s,s,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h
27S,27,0,0,s,s,s,s,s,h,s,s,s,s,s,s,h,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s
27Senv25Hftsnb2,27,25,2,s,h,h,s,h,h,h,s,h,h,h,h,h,h,s,h,h,h,h,h,h,h,h,h,s,h,h,h,h,h,h,h,h,h,s,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,s,h,h
27Senv25Hftsnb4,27,25,4,s,h,h,h,h,h,h,h,h,h,h,s,h,h,h,h,s,h,h,h,h,h,h,h,s,h,h,h,h,s,h,h,h,h,h,s,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h
27Senv25Hftsnb8,27,25,8,s,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,s,h,h,h,h,h,s,h,s,h,s,h,s,s,h,h,s,h,h,h,h,h,h,h,h,h,h,h,s,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,s,h,h,h,s,h
27Senv25Hftsnb16,27,25,16,s,h,h,h,h,h,s,s,h,h,h,h,h,h,s,h,s,h,h,h,h,h,s,h,s,h,h,h,s,s,s,h,h,h,h,h,s,h,h,h,h,h,h,h,h,h,h,h,h,s,h,h,h,h,h,h,h,h,h,h,h,h,h,h,s,h
27Senv25Hftsnb32,27,25,32,s,h,h,s,s,s,s,h,s,s,s,h,h,s,h,h,s,h,h,s,h,s,h,s,s,s,h,h,h,s,h,s,h,h,h,s,h,h,s,h,s,s,s,h,h,h,s,h,h,s,h,h,h,s,h,h,s,s,s,s,s,h,s,s,s,s
27Senv25Hftsnb64,27,25,64,s,h,h,s,s,s,s,s,s,s,s,s,s,s,s,s,s,h,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,h,s,s,h,s,h,s,s,s,s,s,h,s,h,h,s,s,s,h,s,s,h,s,s,s,h,s,h,s,h,h,h
28H,28,0,0,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,s,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h
28Henv19Sftsnb2,28,19,2,h,s,s,h,h,s,s,h,s,h,s,h,s,s,h,s,s,s,s,s,s,s,s,s,h,s,s,s,s,s,h,s,s,h,h,s,s,s,h,s,s,h,s,s,s,s,s,s,h,h,s,s,s,s,s,s,s,s,s,s,h,h,s,s,s,s
28Henv19Sftsnb4,28,19,4,h,s,s,s,s,s,s,h,s,s,s,h,s,s,h,s,s,s,s,s,s,s,s,s,s,s,s,s,h,s,h,s,s,s,h,s,s,s,s,s,s,h,s,s,s,s,s,s,h,h,s,s,s,s,s,s,s,s,s,s,s,s,h,s,h,s
28Henv19Sftsnb8,28,19,8,h,s,s,h,s,s,s,h,s,s,s,s,s,s,s,s,h,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,h,s,s,s,s,s,s,h,h,s,s,s,s,s,s,s,s,h,s,s,s,s,s,h,s
28Henv19Sftsnb16,28,19,16,h,s,s,h,s,s,s,h,s,s,s,h,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,h,s,s,h,s,s,s,s,h,s,h,h,s,s,s,s,s,s,s,s,h,s,h,s,s,s,s,s
28Henv19Sftsnb32,28,19,32,h,s,s,s,s,h,s,h,h,s,s,h,s,h,s,s,s,h,h,s,s,h,h,s,s,s,s,h,s,s,h,s,s,h,s,s,s,s,h,s,s,h,h,s,s,s,h,s,h,h,s,s,s,s,s,h,h,h,s,h,s,h,h,h,h,h
28Henv19Sftsnb64,28,19,64,h,s,s,h,h,h,s,s,h,s,s,h,h,h,h,s,s,h,h,h,s,h,h,h,s,s,h,s,s,s,h,h,h,h,h,s,s,h,h,h,h,s,h,h,h,s,h,h,h,h,s,h,h,h,s,s,h,h,h,h,h,h,s,h,h,h
29H,29,0,0,h,h,h,h,h,h,h,h,h,h,h,h,h,h,s,h,s,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,s,h,h,h,h,h,h,s,h,h,h,h,h,h,h,h,h,h,h,h
29Henv12Sftsnb2,29,12,2,h,s,s,s,s,h,s,s,s,h,s,s,s,h,s,s,s,s,s,s,s,s,h,s,s,s,s,s,s,s,h,h,s,s,s,s,s,s,s,s,s,h,s,h,s,s,h,s,s,s,h,s,s,s,s,s,s,s,s,s,s,s,s,h,h,s
29Henv12Sftsnb4,29,12,4,h,s,s,h,s,s,s,s,s,s,h,s,h,s,s,s,s,s,h,s,s,s,s,s,s,s,s,s,h,s,s,h,s,s,s,s,s,s,s,s,h,s,s,s,s,h,s,s,h,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s
29Henv12Sftsnb8,29,12,8,h,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,h,s,h,s,h,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s
29Henv12Sftsnb16,29,12,16,h,s,s,s,s,s,s,h,s,s,s,h,s,s,s,h,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,h,s,s,s,s,s,s,s,s,s,s,s,s,h,s,h,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s
29Henv12Sftsnb32,29,12,32,h,s,s,s,s,s,s,h,s,s,s,s,s,s,s,s,s,s,s,s,s,s,h,s,s,s,s,s,s,s,s,s,s,s,h,s,h,s,s,s,h,s,h,h,s,s,s,s,s,s,s,s,s,s,s,s,h,h,s,s,s,s,s,s,s,s
29Henv12Sftsnb64,29,12,64,h,s,s,s,h,s,s,h,s,s,h,s,s,h,s,h,s,h,s,s,s,h,h,h,s,s,s,s,s,s,s,s,h,s,h,s,s,s,h,s,s,s,h,h,s,h,s,s,h,s,s,s,s,h,s,s,s,s,s,h,h,h,s,s,h,s
30S,30,0,0,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,h,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,h,s,s,s
30Senv07Hftsnb2,30,7,2,s,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h
30Senv07Hftsnb4,30,7,4,s,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,s,h,h,h,h,s,h,h,h,h,h,h,h,h,h,s,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h
30Senv07Hftsnb8,30,7,8,s,h,h,h,h,s,h,h,h,h,h,h,h,h,s,s,h,h,h,h,h,h,h,h,h,h,h,h,h,s,h,h,h,h,h,h,h,h,h,s,h,s,h,h,s,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h
30Senv07Hftsnb16,30,7,16,s,h,h,h,h,h,h,s,h,s,s,h,h,s,h,h,h,h,h,s,h,h,h,h,s,h,h,h,s,s,s,h,h,h,s,s,h,s,h,s,h,h,h,h,s,h,h,s,h,s,h,s,h,h,h,h,h,h,h,h,s,h,s,h,s,h
30Senv07Hftsnb32,30,7,32,s,h,s,s,s,s,s,h,s,s,h,s,s,s,s,s,s,s,h,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,h,s,s,s,h,s,h,s,s,s,s,s,s,s,h,s,s,s,h,s,s,s,s,s,h,s,s
30Senv07Hftsnb64,30,7,64,s,h,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,h,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,h,s,s,s,s,s,s,s,s,s,s
31H,31,0,0,h,h,h,h,h,h,s,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,s,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h
31Henv10Sftsnb2,31,10,2,h,s,h,s,s,s,s,s,s,s,s,s,s,s,h,s,s,s,h,s,s,s,s,s,s,s,s,h,h,s,s,s,s,s,s,s,s,s,s,s,s,s,h,s,s,s,h,s,s,s,h,s,s,s,h,s,s,s,s,s,s,h,s,s,s,s
31Henv10Sftsnb4,31,10,4,h,s,s,h,s,s,s,h,s,s,s,s,s,s,s,s,s,s,h,s,s,s,s,s,s,s,h,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,h,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s
31Henv10Sftsnb8,31,10,8,h,s,s,h,s,s,s,h,s,s,h,s,h,s,s,s,s,s,h,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,h,s,s,s,s,s,s,s,h,s,s,s,h,s,h,h,s,s,s,s,s,s,s,s,s,s,s,s,s,s,h,s
31Henv10Sftsnb16,31,10,16,h,s,h,h,h,h,s,h,s,s,h,h,h,h,h,s,s,h,h,s,s,s,h,h,s,s,h,h,h,s,s,h,h,h,s,s,s,h,h,h,h,h,s,h,s,s,h,s,h,h,h,h,h,h,h,s,h,s,s,h,s,h,h,h,h,s
31Henv10Sftsnb32,31,10,32,h,s,h,h,h,h,s,h,h,h,h,h,s,h,s,h,s,h,h,h,h,h,h,s,s,h,h,h,h,h,s,h,h,h,s,s,s,h,h,h,h,h,h,h,h,s,h,s,h,h,s,h,h,h,h,h,h,h,s,h,h,h,h,h,h,h
31Henv10Sftsnb64,31,10,64,h,s,s,h,h,h,h,h,h,h,h,h,h,h,h,h,s,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h
32H,32,0,0,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h
32Henv13Sftsnb2,32,13,2,h,s,s,h,s,s,s,s,s,s,s,h,h,s,s,s,s,s,s,h,s,s,s,s,s,s,h,s,s,s,s,s,s,s,s,s,s,s,h,s,s,s,s,s,s,s,h,s,h,s,s,s,s,s,s,s,s,s,s,s,s,h,h,h,h,s
32Henv13Sftsnb4,32,13,4,h,s,s,s,s,h,s,h,s,s,s,h,h,s,h,s,s,s,h,h,s,s,s,s,s,h,s,h,h,s,s,s,s,s,h,h,s,s,h,s,h,h,s,s,h,s,h,s,h,h,h,h,s,h,s,s,h,s,s,s,h,s,h,s,h,s
32Henv13Sftsnb8,32,13,8,h,s,s,h,s,s,s,h,s,h,h,s,h,s,h,h,s,h,h,h,s,s,h,s,h,s,h,h,s,s,s,s,s,s,s,h,s,h,h,s,s,h,s,s,h,s,h,s,h,s,h,s,s,h,s,s,h,s,h,s,s,s,h,s,s,s
32Henv13Sftsnb16,32,13,16,h,s,h,h,s,h,s,h,s,h,s,h,s,s,h,s,s,s,h,h,s,s,h,s,s,s,h,s,h,h,s,h,h,s,h,h,s,h,h,s,h,h,s,s,h,s,h,s,h,h,h,h,s,h,h,s,s,h,h,s,s,s,h,h,h,h
32Henv13Sftsnb32,32,13,32,h,s,s,h,h,h,h,h,h,h,s,h,s,s,s,s,s,h,h,h,s,h,h,s,s,s,h,h,h,s,s,s,s,h,h,h,s,s,h,s,h,h,s,s,h,s,h,s,h,s,s,s,s,h,h,s,h,h,s,s,s,s,s,h,h,h
32Henv13Sftsnb64,32,13,64,h,s,h,h,h,h,s,h,h,s,s,h,h,h,h,h,s,h,h,h,h,h,h,h,s,h,h,h,s,h,h,h,h,h,h,s,h,h,h,h,s,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,s,h,h,h
