chimera,chim.id,env,fts,emo,emo.fts,subj.01,subj.02,subj.03,subj.04,subj.05,subj.06,subj.07,subj.08,subj.09,subj.10,subj.11,subj.12,subj.13,subj.14,subj.15,subj.16,subj.17,subj.18,subj.19,subj.20,subj.21,subj.22,subj.23,subj.24,subj.25,subj.26,subj.27,subj.28,subj.29,subj.30,subj.31,subj.32,subj.33,subj.34,subj.35,subj.36,subj.37,subj.38,subj.39,subj.40,subj.41,subj.42,subj.43,subj.44,subj.45,subj.46,subj.47,subj.48,subj.49,subj.50,subj.51,subj.52,subj.53,subj.54,subj.55,subj.56,subj.57,subj.58,subj.59,subj.60,subj.61,subj.62,subj.63,subj.64
15H,15,0,0,h,h,s,s,h,s,s,s,h,s,h,h,h,s,s,h,s,s,h,h,h,h,h,h,s,h,h,h,h,h,s,h,s,s,s,h,s,h,s,h,h,s,h,h,s,h,s,h,h,s,h,h,h,s,s,h,s,s,h,h,h,h,h,h,s,h
15Henv08Sftsnb2,15,8,2,h,s,s,s,s,s,s,s,s,s,s,h,h,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,h,s,s,h,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,h,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s
15Henv08Sftsnb4,15,8,4,h,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,h,s,h,s,s,s,s,h,s,s,s,s,s,h,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s
15Henv08Sftsnb8,15,8,8,h,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s
15Henv08Sftsnb16,15,8,16,h,s,s,s,s,s,s,s,s,s,h,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,h,h,s,s,s,s,h,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s
15Henv08Sftsnb32,15,8,32,h,s,s,h,s,s,s,s,s,s,h,s,h,s,s,s,s,h,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,h,s,s,s,s,s,s,s,s,s,s,s,s,h,s,h,h,s,s,s,s,s,s,s,h,s,s,s,s,s,s
15Henv08Sftsnb64,15,8,64,h,s,s,s,s,s,s,s,s,s,s,s,h,s,s,s,s,s,s,s,s,h,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,h,s,h,s,s,s,s
16S,16,0,0,s,s,s,h,s,s,s,s,s,s,s,h,s,s,s,s,s,s,s,s,s,s,s,h,s,s,h,s,s,s,s,s,s,s,s,s,h,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s
16Senv18Hftsnb2,16,18,2,s,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,s,h,h,h,h,h,h,h,s,h,h,h,s,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,s,h
16Senv18Hftsnb4,16,18,4,s,h,h,s,h,h,h,h,h,h,h,h,h,h,h,h,s,h,h,h,h,h,h,h,s,h,h,h,h,s,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h
